"","x"
"1",4141260.02985451
"2",4147361.24200979
"3",4318585.34325692
"4",3642788.10391357
"5",3704905.11209716
"6",3488895.59464779
"7",3336770.19576371
"8",3750506.11645218
"9",5137794.93791453
"10",4772357.35444069
"11",4988825.32801962
"12",4629109.49467343
