"","x"
"1",4111576.21666667
"2",4006834.38333333
"3",4211014.05
"4",3581754.38333333
"5",3593743.71666667
"6",3360637.05
"7",3191011.71666667
"8",3571869.05
"9",5028705.05
"10",4649434.88333333
"11",4847940.71666667
"12",4476194.05
