"","x"
"1",3981721.58918542
"2",3921507.09701093
"3",4220286.21058011
"4",3591864.88243461
"5",3497687.24558975
"6",3307881.59378423
"7",3073575.25289722
"8",3574462.39988105
"9",5179185.40841686
"10",4726394.12032223
"11",5033429.81868999
"12",4460765.42315396
